frecuencia,Amp,Fase
100000,-0.7,11
80000,-0.8,14
60000,-1,19
50000,-1.2,23
40000,-1.6,27
30000,-2.4,36
20000,-4.1,48
15000,-6,56
10000,-10.3,71
9000,-12,73
8000,-14.1,76
7000,-17.6,80
6500,-20.4,81
6000,-24.9,80
5900,-26.2,81
5800,-27.8,80
5700,-29.8,79
5600,-32.5,77
5500,-36.3,70
5450,-39,64
5400,-42.6,50
5390,-44.4,48
5380,-44.6,41
5370,-45.3,34
5360,-46.1,26
5350,-46.6,15
5340,-46.9,5
5330,-46.8,-8
5320,-46.5,-18
5310,-45.9,-27
5300,-45.2,-34
5290,-44.4,-42
5280,-43.2,-48
5270,-42.4,-54
5260,-41.6,-58
5250,-40.8,-60
5200,-40.5,-68
5150,-40,-73
5140,-34.5,-76
5120,-33.7,-77
5100,-33,-77
5000,-29.8,-80
4800,-25.8,-83
4600,-22.8,-82
4400,-20.5,-81
4200,-18.7,-82
4000,-17,-80
3600,-14.3,-77
3200,-12,-75
3000,-10.9,-72
2000,-6.3,-60
1600,-4.6,-53
1000,-2.3,-38
700,-1.3,-29
500,-0.8,-21
300,-0.4,-13
100,-0.2,-5
